chunk,accuracy,precision,recall,f1
186,0.85,0.8256410256410256,0.7970297029702971,0.8110831234256927
187,0.884,0.795,0.9034090909090909,0.8457446808510638
188,0.912,0.9426751592356688,0.8087431693989071,0.8705882352941177
189,0.916,0.9328859060402684,0.8128654970760234,0.86875
190,0.914,0.91875,0.8305084745762712,0.8724035608308606
191,0.938,0.9803921568627451,0.8426966292134831,0.9063444108761329
192,0.88,0.9383561643835616,0.7287234042553191,0.8203592814371258
193,0.896,0.8716216216216216,0.7962962962962963,0.832258064516129
194,0.898,0.9803921568627451,0.7575757575757576,0.8547008547008547
195,0.918,0.9570552147239264,0.8210526315789474,0.8838526912181303
196,0.92,0.986013986013986,0.7877094972067039,0.8757763975155279
197,0.914,0.9640718562874252,0.8131313131313131,0.8821917808219178
198,0.892,0.8440860215053764,0.8626373626373627,0.8532608695652174
199,0.918,0.9675324675324676,0.8054054054054054,0.8790560471976401
200,0.91,0.9675324675324676,0.7883597883597884,0.8688046647230321
201,0.912,0.9263803680981595,0.825136612021858,0.8728323699421965
202,0.9,0.8546511627906976,0.8546511627906976,0.8546511627906976
203,0.916,0.9235668789808917,0.8285714285714286,0.8734939759036144
204,0.912,0.9777777777777777,0.7630057803468208,0.8571428571428571
205,0.92,0.987012987012987,0.8,0.8837209302325582
206,0.894,0.9290322580645162,0.7741935483870968,0.844574780058651
207,0.866,0.831081081081081,0.7454545454545455,0.7859424920127795
208,0.906,0.9290322580645162,0.8,0.8597014925373134
209,0.908,0.8716577540106952,0.8810810810810811,0.8763440860215054
210,0.926,0.9681528662420382,0.8260869565217391,0.8914956011730205
211,0.918,0.9774436090225563,0.7738095238095238,0.8637873754152824
212,0.916,0.9596774193548387,0.7628205128205128,0.85
213,0.918,0.9708029197080292,0.7823529411764706,0.8664495114006515
214,0.926,0.9925373134328358,0.7869822485207101,0.8778877887788779
215,0.928,0.9921875,0.7839506172839507,0.8758620689655172
216,0.908,0.9141104294478528,0.8232044198895028,0.8662790697674418
217,0.904,0.8875,0.8255813953488372,0.8554216867469879
218,0.918,0.9594594594594594,0.8022598870056498,0.8738461538461538
219,0.916,0.984251968503937,0.7575757575757576,0.8561643835616438
220,0.93,0.967741935483871,0.8333333333333334,0.8955223880597015
221,0.932,0.9615384615384616,0.8116883116883117,0.8802816901408451
222,0.916,0.93125,0.8277777777777777,0.8764705882352941
223,0.91,0.9558823529411765,0.7692307692307693,0.8524590163934426
224,0.908,0.9681528662420382,0.7875647668393783,0.8685714285714285
225,0.9,0.825,0.9166666666666666,0.868421052631579
226,0.866,0.7551020408163265,0.8862275449101796,0.8154269972451791
227,0.906,0.946969696969697,0.7575757575757576,0.8417508417508418
228,0.898,0.8895027624309392,0.8385416666666666,0.8632707774798928
